datetime,open,high,low,close,volume
2025-11-12 11:45:00+00:00,1.15729,1.15759,1.15678,1.15702,731
2025-11-12 12:00:00+00:00,1.15698,1.15756,1.15688,1.15714,675
2025-11-12 12:15:00+00:00,1.15714,1.15736,1.15652,1.15655,698
2025-11-12 12:30:00+00:00,1.1565699999999999,1.15713,1.15649,1.15705,579
2025-11-12 12:45:00+00:00,1.15704,1.15726,1.15683,1.157,519
2025-11-12 13:00:00+00:00,1.157,1.1572,1.15688,1.1569,455
2025-11-12 13:15:00+00:00,1.15694,1.15725,1.1565400000000001,1.15712,505
2025-11-12 13:30:00+00:00,1.15714,1.15739,1.15707,1.15712,481
2025-11-12 13:45:00+00:00,1.15711,1.15779,1.1571,1.15778,578
2025-11-12 14:00:00+00:00,1.15777,1.15801,1.15743,1.1578,608
2025-11-12 14:15:00+00:00,1.15781,1.15805,1.15764,1.15774,516
2025-11-12 14:30:00+00:00,1.15774,1.1578,1.15732,1.15774,658
2025-11-12 14:45:00+00:00,1.15779,1.15797,1.15717,1.15766,684
2025-11-12 15:00:00+00:00,1.15766,1.15797,1.15734,1.15734,682
2025-11-12 15:15:00+00:00,1.15734,1.15744,1.15698,1.15701,694
2025-11-12 15:30:00+00:00,1.15699,1.15705,1.15663,1.15683,707
2025-11-12 15:45:00+00:00,1.15683,1.15726,1.1566,1.15724,553
2025-11-12 16:00:00+00:00,1.15722,1.15751,1.1564,1.1565,775
2025-11-12 16:15:00+00:00,1.1565400000000001,1.15672,1.15627,1.15648,769
2025-11-12 16:30:00+00:00,1.15649,1.15728,1.15639,1.15724,750
2025-11-12 16:45:00+00:00,1.15725,1.15759,1.15717,1.15757,865
2025-11-12 17:00:00+00:00,1.15756,1.15821,1.15727,1.15785,889
2025-11-12 17:15:00+00:00,1.15786,1.15838,1.1577,1.15778,720
2025-11-12 17:30:00+00:00,1.15777,1.15851,1.15762,1.1584,656
2025-11-12 17:45:00+00:00,1.15845,1.15956,1.1584,1.15943,1034
2025-11-12 18:00:00+00:00,1.15942,1.15981,1.15931,1.15961,766
2025-11-12 18:15:00+00:00,1.15958,1.15965,1.15906,1.15911,612
2025-11-12 18:30:00+00:00,1.15912,1.15952,1.15899,1.15942,600
2025-11-12 18:45:00+00:00,1.15947,1.15949,1.15882,1.1591,520
2025-11-12 19:00:00+00:00,1.1590799999999999,1.15973,1.1590799999999999,1.15958,594
2025-11-12 19:15:00+00:00,1.1595900000000001,1.15965,1.15928,1.1593,482
2025-11-12 19:30:00+00:00,1.15929,1.1596,1.1592,1.15928,362
2025-11-12 19:45:00+00:00,1.15927,1.15934,1.15911,1.15933,390
2025-11-12 20:00:00+00:00,1.15933,1.15943,1.15909,1.15928,421
2025-11-12 20:15:00+00:00,1.1592500000000001,1.15934,1.15909,1.15923,345
2025-11-12 20:30:00+00:00,1.1592500000000001,1.15945,1.15916,1.15932,295
2025-11-12 20:45:00+00:00,1.1593499999999999,1.15943,1.15886,1.15897,382
2025-11-12 21:00:00+00:00,1.15896,1.15905,1.15852,1.15858,339
2025-11-12 21:15:00+00:00,1.15859,1.1587399999999999,1.15844,1.15852,316
2025-11-12 21:30:00+00:00,1.15853,1.15882,1.15851,1.15867,352
2025-11-12 21:45:00+00:00,1.15866,1.15894,1.15855,1.15863,436
2025-11-12 22:00:00+00:00,1.15861,1.15881,1.15851,1.1587399999999999,400
2025-11-12 22:15:00+00:00,1.15881,1.15895,1.1586400000000001,1.15871,422
2025-11-12 22:30:00+00:00,1.15869,1.15885,1.15857,1.15882,317
2025-11-12 22:45:00+00:00,1.15881,1.1590799999999999,1.15867,1.15896,342
2025-11-12 23:00:00+00:00,1.15888,1.15894,1.1584,1.15857,331
2025-11-12 23:15:00+00:00,1.15855,1.1586400000000001,1.15839,1.15852,261
2025-11-12 23:30:00+00:00,1.15853,1.15867,1.15838,1.15862,223
2025-11-12 23:45:00+00:00,1.15861,1.15926,1.15843,1.1592500000000001,336
2025-11-13 00:00:00+00:00,1.15907,1.15913,1.15895,1.15904,39
2025-11-13 00:15:00+00:00,1.15906,1.1592,1.15903,1.1591,127
2025-11-13 00:30:00+00:00,1.15911,1.15921,1.1589800000000001,1.15901,298
2025-11-13 00:45:00+00:00,1.15905,1.1591,1.15888,1.15891,451
2025-11-13 01:00:00+00:00,1.159,1.15944,1.15892,1.15921,413
2025-11-13 01:15:00+00:00,1.15921,1.15933,1.15918,1.15924,278
2025-11-13 01:30:00+00:00,1.15927,1.15931,1.15899,1.15913,337
2025-11-13 01:45:00+00:00,1.15912,1.15922,1.15909,1.15919,278
2025-11-13 02:00:00+00:00,1.15919,1.15922,1.15873,1.15879,381
2025-11-13 02:15:00+00:00,1.15879,1.15894,1.15869,1.15881,304
2025-11-13 02:30:00+00:00,1.15882,1.1589800000000001,1.15804,1.15826,614
2025-11-13 02:45:00+00:00,1.15826,1.15838,1.158,1.15802,490
2025-11-13 03:00:00+00:00,1.158,1.15827,1.15793,1.1581299999999999,491
2025-11-13 03:15:00+00:00,1.15812,1.15832,1.15789,1.15821,467
2025-11-13 03:30:00+00:00,1.15818,1.15865,1.1581,1.15851,406
2025-11-13 03:45:00+00:00,1.15852,1.15897,1.15842,1.1589,396
2025-11-13 04:00:00+00:00,1.15891,1.15931,1.15889,1.15895,425
2025-11-13 04:15:00+00:00,1.15894,1.15901,1.1585,1.15863,407
2025-11-13 04:30:00+00:00,1.15862,1.1589,1.15854,1.15887,286
2025-11-13 04:45:00+00:00,1.15888,1.159,1.15859,1.15895,327
2025-11-13 05:00:00+00:00,1.15897,1.15918,1.15881,1.15907,302
2025-11-13 05:15:00+00:00,1.15906,1.15906,1.15879,1.15886,335
2025-11-13 05:30:00+00:00,1.15885,1.15891,1.1586400000000001,1.15882,344
2025-11-13 05:45:00+00:00,1.15883,1.1590799999999999,1.15869,1.15894,383
2025-11-13 06:00:00+00:00,1.15897,1.15919,1.1589,1.15907,329
2025-11-13 06:15:00+00:00,1.15909,1.1591,1.1587399999999999,1.15885,330
2025-11-13 06:30:00+00:00,1.15885,1.15897,1.15877,1.15887,271
2025-11-13 06:45:00+00:00,1.1589,1.15906,1.1587,1.15904,261
2025-11-13 07:00:00+00:00,1.15903,1.1591,1.15869,1.1587,327
2025-11-13 07:15:00+00:00,1.15869,1.15886,1.15854,1.15861,327
2025-11-13 07:30:00+00:00,1.1586,1.1587,1.1583,1.1583,284
2025-11-13 07:45:00+00:00,1.1583,1.15841,1.15801,1.15821,287
2025-11-13 08:00:00+00:00,1.1582,1.15848,1.15811,1.15828,343
2025-11-13 08:15:00+00:00,1.15826,1.15854,1.1582,1.1583700000000001,292
2025-11-13 08:30:00+00:00,1.1583700000000001,1.15844,1.1581,1.1584,426
2025-11-13 08:45:00+00:00,1.15839,1.15861,1.1582,1.15861,358
2025-11-13 09:00:00+00:00,1.15859,1.15887,1.15829,1.15871,551
2025-11-13 09:15:00+00:00,1.15877,1.15936,1.1587,1.1593,483
2025-11-13 09:30:00+00:00,1.15931,1.16043,1.15928,1.16031,716
2025-11-13 09:45:00+00:00,1.16029,1.16125,1.16029,1.16112,762
2025-11-13 10:00:00+00:00,1.16116,1.16193,1.1610800000000001,1.16193,757
2025-11-13 10:15:00+00:00,1.16192,1.16195,1.16119,1.16139,778
2025-11-13 10:30:00+00:00,1.16138,1.1617,1.16099,1.16119,703
2025-11-13 10:45:00+00:00,1.16119,1.16296,1.16111,1.16284,834
2025-11-13 11:00:00+00:00,1.16284,1.1635,1.16234,1.16314,1058
2025-11-13 11:15:00+00:00,1.16314,1.16336,1.16283,1.16304,625
2025-11-13 11:30:00+00:00,1.16306,1.16339,1.16105,1.1613,888
2025-11-13 11:45:00+00:00,1.16131,1.16214,1.16128,1.16168,747
2025-11-13 12:00:00+00:00,1.16167,1.16177,1.16127,1.16157,672
2025-11-13 12:15:00+00:00,1.16157,1.16237,1.16139,1.16176,606
2025-11-13 12:30:00+00:00,1.16175,1.16182,1.16121,1.16122,540
2025-11-13 12:45:00+00:00,1.16123,1.16172,1.16112,1.1616,510
2025-11-13 13:00:00+00:00,1.1616,1.16192,1.1613,1.16164,439
2025-11-13 13:15:00+00:00,1.1616,1.16163,1.16121,1.16145,469
2025-11-13 13:30:00+00:00,1.16146,1.16206,1.1613,1.16134,506
2025-11-13 13:45:00+00:00,1.16134,1.16134,1.16048,1.16065,821
2025-11-13 14:00:00+00:00,1.16065,1.16119,1.16059,1.16111,567
2025-11-13 14:15:00+00:00,1.16111,1.1615199999999999,1.16104,1.1614,621
2025-11-13 14:30:00+00:00,1.16141,1.16204,1.16134,1.16185,601
2025-11-13 14:45:00+00:00,1.16186,1.16233,1.16171,1.16225,804
2025-11-13 15:00:00+00:00,1.16226,1.16252,1.16165,1.1620300000000001,811
2025-11-13 15:15:00+00:00,1.16205,1.16236,1.16151,1.16158,654
2025-11-13 15:30:00+00:00,1.16157,1.1616900000000001,1.16113,1.16145,729
2025-11-13 15:45:00+00:00,1.16144,1.16209,1.1613,1.16202,616
2025-11-13 16:00:00+00:00,1.1620300000000001,1.16236,1.16172,1.16189,833
2025-11-13 16:15:00+00:00,1.16184,1.1621,1.16168,1.16184,754
2025-11-13 16:30:00+00:00,1.16185,1.16297,1.16183,1.16279,1003
2025-11-13 16:45:00+00:00,1.1628,1.16313,1.16242,1.16283,926
2025-11-13 17:00:00+00:00,1.16281,1.16297,1.16239,1.16265,883
2025-11-13 17:15:00+00:00,1.16261,1.16313,1.1623,1.16311,801
2025-11-13 17:30:00+00:00,1.16312,1.16431,1.16311,1.16411,963
2025-11-13 17:45:00+00:00,1.16412,1.16432,1.16363,1.1639,944
2025-11-13 18:00:00+00:00,1.16389,1.16429,1.16364,1.16425,781
2025-11-13 18:15:00+00:00,1.16426,1.1645,1.16398,1.16434,732
2025-11-13 18:30:00+00:00,1.16435,1.16482,1.16431,1.16463,764
2025-11-13 18:45:00+00:00,1.16464,1.16491,1.1642299999999999,1.16486,662
2025-11-13 19:00:00+00:00,1.16486,1.16509,1.16468,1.16483,589
2025-11-13 19:15:00+00:00,1.16482,1.16545,1.16482,1.16538,549
2025-11-13 19:30:00+00:00,1.16539,1.16556,1.16455,1.16528,665
2025-11-13 19:45:00+00:00,1.16529,1.16564,1.16499,1.1650800000000001,743
2025-11-13 20:00:00+00:00,1.16509,1.1652,1.16437,1.16482,652
2025-11-13 20:15:00+00:00,1.1648100000000001,1.16515,1.1647,1.16478,396
2025-11-13 20:30:00+00:00,1.16477,1.1648100000000001,1.16403,1.16425,672
2025-11-13 20:45:00+00:00,1.16426,1.16436,1.16367,1.16385,537
2025-11-13 21:00:00+00:00,1.16384,1.16412,1.1636199999999999,1.16404,389
2025-11-13 21:15:00+00:00,1.16406,1.16415,1.16373,1.16379,401
2025-11-13 21:30:00+00:00,1.16378,1.16415,1.16372,1.16398,410
2025-11-13 21:45:00+00:00,1.1639599999999999,1.16411,1.16352,1.16353,410
2025-11-13 22:00:00+00:00,1.16352,1.16367,1.16329,1.16334,466
2025-11-13 22:15:00+00:00,1.16333,1.16382,1.16333,1.1637,354
2025-11-13 22:30:00+00:00,1.16371,1.1639599999999999,1.16361,1.16364,313
2025-11-13 22:45:00+00:00,1.16363,1.16378,1.1632500000000001,1.16332,358
2025-11-13 23:00:00+00:00,1.1632500000000001,1.16327,1.16296,1.16323,285
2025-11-13 23:15:00+00:00,1.16322,1.16329,1.16307,1.16323,250
2025-11-13 23:30:00+00:00,1.16324,1.16357,1.16319,1.16342,266
2025-11-13 23:45:00+00:00,1.16344,1.16373,1.16333,1.16338,359
2025-11-14 00:00:00+00:00,1.16296,1.1635900000000001,1.16296,1.16352,112
2025-11-14 00:15:00+00:00,1.1635900000000001,1.1636,1.16334,1.16352,119
2025-11-14 00:30:00+00:00,1.16353,1.16373,1.16338,1.16366,451
2025-11-14 00:45:00+00:00,1.1636199999999999,1.16367,1.16339,1.16352,374
2025-11-14 01:00:00+00:00,1.16354,1.16378,1.16248,1.1627,488
2025-11-14 01:15:00+00:00,1.16271,1.16275,1.16235,1.16261,335
2025-11-14 01:30:00+00:00,1.1626,1.16296,1.1623999999999999,1.16281,370
2025-11-14 01:45:00+00:00,1.16281,1.1630099999999999,1.16278,1.16299,337
2025-11-14 02:00:00+00:00,1.16297,1.16311,1.16266,1.16293,391
2025-11-14 02:15:00+00:00,1.16293,1.16339,1.16279,1.16327,445
2025-11-14 02:30:00+00:00,1.1632500000000001,1.16331,1.16282,1.1629800000000001,501
2025-11-14 02:45:00+00:00,1.1630099999999999,1.16331,1.1627,1.16331,582
2025-11-14 03:00:00+00:00,1.16332,1.16349,1.1629800000000001,1.1633,577
2025-11-14 03:15:00+00:00,1.16331,1.16377,1.16302,1.1632,441
2025-11-14 03:30:00+00:00,1.16321,1.16372,1.16309,1.16366,565
2025-11-14 03:45:00+00:00,1.16366,1.16392,1.16329,1.16336,504
2025-11-14 04:00:00+00:00,1.1633499999999999,1.16361,1.16294,1.16326,401
2025-11-14 04:15:00+00:00,1.16332,1.16376,1.16319,1.16344,498
2025-11-14 04:30:00+00:00,1.16346,1.16352,1.16315,1.16347,477
2025-11-14 04:45:00+00:00,1.16348,1.16363,1.16334,1.1635900000000001,386
2025-11-14 05:00:00+00:00,1.1636,1.16388,1.16351,1.16367,342
2025-11-14 05:15:00+00:00,1.16368,1.1641,1.16366,1.16404,299
2025-11-14 05:30:00+00:00,1.1641,1.16451,1.16404,1.16432,385
2025-11-14 05:45:00+00:00,1.16435,1.16438,1.16377,1.1638,435
2025-11-14 06:00:00+00:00,1.16379,1.16431,1.16376,1.16415,339
2025-11-14 06:15:00+00:00,1.16414,1.1642000000000001,1.16398,1.164,422
2025-11-14 06:30:00+00:00,1.164,1.16416,1.16378,1.16404,380
2025-11-14 06:45:00+00:00,1.16404,1.16424,1.16376,1.1642299999999999,371
2025-11-14 07:00:00+00:00,1.16421,1.16442,1.16404,1.16427,388
2025-11-14 07:15:00+00:00,1.16425,1.16454,1.16415,1.16422,386
2025-11-14 07:30:00+00:00,1.16425,1.16452,1.16424,1.16427,335
2025-11-14 07:45:00+00:00,1.16428,1.16482,1.1639,1.16474,556
2025-11-14 08:00:00+00:00,1.16475,1.16489,1.16432,1.16435,381
2025-11-14 08:15:00+00:00,1.16432,1.16436,1.16387,1.16394,369
2025-11-14 08:30:00+00:00,1.16395,1.16426,1.16376,1.16384,475
2025-11-14 08:45:00+00:00,1.16385,1.16385,1.1633,1.16371,549
2025-11-14 09:00:00+00:00,1.16374,1.16431,1.16373,1.16424,538
2025-11-14 09:15:00+00:00,1.16425,1.16459,1.16348,1.16371,792
2025-11-14 09:30:00+00:00,1.1637,1.16415,1.16356,1.16407,621
2025-11-14 09:45:00+00:00,1.16411,1.16425,1.16316,1.16327,717
2025-11-14 10:00:00+00:00,1.16327,1.16361,1.16254,1.16259,1079
2025-11-14 10:15:00+00:00,1.16257,1.16284,1.16204,1.16259,961
2025-11-14 10:30:00+00:00,1.16255,1.16372,1.16255,1.1634,1038
2025-11-14 10:45:00+00:00,1.16339,1.16363,1.1629,1.16297,907
2025-11-14 11:00:00+00:00,1.16296,1.1630099999999999,1.16241,1.16279,772
2025-11-14 11:15:00+00:00,1.16279,1.16316,1.16242,1.16271,703
2025-11-14 11:30:00+00:00,1.1627,1.16307,1.16231,1.16234,613
2025-11-14 11:45:00+00:00,1.16235,1.16262,1.16201,1.16221,556
2025-11-14 12:00:00+00:00,1.16217,1.16221,1.16172,1.16209,658
2025-11-14 12:15:00+00:00,1.1621,1.16216,1.1614,1.16144,582
2025-11-14 12:30:00+00:00,1.1614200000000001,1.16157,1.16124,1.1615199999999999,502
2025-11-14 12:45:00+00:00,1.16151,1.16183,1.16135,1.16135,495
2025-11-14 13:00:00+00:00,1.16133,1.1616,1.1609,1.16115,591
2025-11-14 13:15:00+00:00,1.16114,1.1613,1.16086,1.16106,601
2025-11-14 13:30:00+00:00,1.16105,1.16171,1.16105,1.16146,597
2025-11-14 13:45:00+00:00,1.16145,1.16201,1.16134,1.16197,587
2025-11-14 14:00:00+00:00,1.16197,1.1628,1.16171,1.1627399999999999,695
2025-11-14 14:15:00+00:00,1.16275,1.16324,1.16235,1.16306,844
2025-11-14 14:30:00+00:00,1.16306,1.1642299999999999,1.163,1.16408,838
2025-11-14 14:45:00+00:00,1.16409,1.16528,1.16404,1.16528,951
2025-11-14 15:00:00+00:00,1.1653,1.16539,1.16442,1.16465,1032
2025-11-14 15:15:00+00:00,1.16466,1.16531,1.1644,1.1645,773
2025-11-14 15:30:00+00:00,1.16443,1.16498,1.16406,1.16421,1032
2025-11-14 15:45:00+00:00,1.16421,1.16431,1.16342,1.16379,953
2025-11-14 16:00:00+00:00,1.1638,1.16382,1.16288,1.16334,902
2025-11-14 16:15:00+00:00,1.16334,1.16378,1.16306,1.16332,824
2025-11-14 16:30:00+00:00,1.16331,1.1638600000000001,1.1628,1.1630099999999999,1184
2025-11-14 16:45:00+00:00,1.163,1.1631,1.16208,1.16231,1082
2025-11-14 17:00:00+00:00,1.1623,1.16239,1.16158,1.16236,1110
2025-11-14 17:15:00+00:00,1.16234,1.16258,1.16183,1.16186,927
2025-11-14 17:30:00+00:00,1.16185,1.16227,1.1610800000000001,1.16126,821
2025-11-14 17:45:00+00:00,1.16125,1.16141,1.16062,1.16129,857
2025-11-14 18:00:00+00:00,1.16127,1.16196,1.16097,1.16196,734
2025-11-14 18:15:00+00:00,1.16195,1.16228,1.16151,1.16173,771
2025-11-14 18:30:00+00:00,1.16172,1.16209,1.16133,1.16178,707
2025-11-14 18:45:00+00:00,1.16176,1.16207,1.16158,1.16167,555
2025-11-14 19:00:00+00:00,1.16165,1.16181,1.16107,1.16114,577
2025-11-14 19:15:00+00:00,1.16114,1.16151,1.16075,1.16132,657
2025-11-14 19:30:00+00:00,1.16131,1.16141,1.16094,1.16104,509
2025-11-14 19:45:00+00:00,1.16105,1.16146,1.16099,1.16143,466
2025-11-14 20:00:00+00:00,1.16144,1.1615,1.16094,1.16128,561
2025-11-14 20:15:00+00:00,1.16122,1.16159,1.16113,1.16159,359
2025-11-14 20:30:00+00:00,1.16158,1.16182,1.1615199999999999,1.16164,351
2025-11-14 20:45:00+00:00,1.16165,1.16174,1.16141,1.16166,373
2025-11-14 21:00:00+00:00,1.16168,1.1619,1.16162,1.16182,407
2025-11-14 21:15:00+00:00,1.1618,1.16189,1.16157,1.16175,367
2025-11-14 21:30:00+00:00,1.16176,1.16188,1.16155,1.16173,408
2025-11-14 21:45:00+00:00,1.1617,1.16198,1.16162,1.16182,426
2025-11-14 22:00:00+00:00,1.16183,1.1620300000000001,1.16168,1.16202,367
2025-11-14 22:15:00+00:00,1.1620300000000001,1.16208,1.16183,1.162,325
2025-11-14 22:30:00+00:00,1.16199,1.16219,1.16191,1.16209,357
2025-11-14 22:45:00+00:00,1.16207,1.16232,1.16192,1.162,491
2025-11-14 23:00:00+00:00,1.16193,1.1623,1.16184,1.16196,257
2025-11-14 23:15:00+00:00,1.16197,1.16224,1.16195,1.16207,230
2025-11-14 23:30:00+00:00,1.16207,1.1621299999999999,1.16174,1.16192,252
2025-11-14 23:45:00+00:00,1.16192,1.16223,1.16164,1.16201,475
2025-11-17 00:00:00+00:00,1.16109,1.1623,1.16109,1.16227,80
2025-11-17 00:15:00+00:00,1.16224,1.16231,1.16215,1.16227,212
2025-11-17 00:30:00+00:00,1.16227,1.16231,1.16198,1.16202,275
2025-11-17 00:45:00+00:00,1.16199,1.16234,1.16195,1.16226,369
2025-11-17 01:00:00+00:00,1.16228,1.16248,1.16193,1.16217,526
2025-11-17 01:15:00+00:00,1.16217,1.16229,1.16188,1.1621,367
2025-11-17 01:30:00+00:00,1.16209,1.16212,1.16181,1.16185,352
2025-11-17 01:45:00+00:00,1.16185,1.16198,1.16111,1.16149,429
